suburb,LAT,LON
Enfield,-33.89006,151.09611
Burwood Heights,-33.8894,151.10403
Centennial Park,-33.89787,151.23244
Oyster Bay,-34.0069,151.08096
Hornsby Heights,-33.6556,151.10003
Northwood,-33.82882,151.17883
South Wentworthville,-33.82166,150.97206
Wareemba,-33.85759,151.13219
Canterbury,-33.913,151.1171
Punchbowl,-33.92907,151.05159
Belrose,-33.72159,151.21169
Bonnyrigg,-33.89333,150.88877
Campbelltown,-34.06338,150.80766
Strathfield,-33.87913,151.08118
Dundas Valley,-33.79216,151.05607
Daleys Point,-33.50408,151.35585
Gymea Bay,-34.04951,151.08733
Kirrawee,-34.0332,151.07224
Mona Vale,-33.67706,151.30276
Tascott,-33.45183,151.31618
Warnervale,-33.24668,151.43186
Phegans Bay,-33.48838,151.30872
Seaforth,-33.79114,151.2431
Kincumber South,-33.48389,151.38058
West Hoxton,-33.93142,150.83406
Middleton Grange,-33.91254,150.84322
Naremburn,-33.81731,151.20149
Manly,-33.80338,151.29117
Gordon,-33.75743,151.15575
Mays Hill,-33.8212,150.98881
Fairfield West,-33.87024,150.92391
North Willoughby,-33.79541,151.20101
Horsfield Bay,-33.49244,151.30151
Camden South,-34.08232,150.70072
Lugarno,-33.98105,151.04426
Buff Point,-33.22787,151.53669
Kogarah Bay,-33.9826,151.12424
Bankstown,-33.91991,151.03125
Birrong,-33.89192,151.02094
Randwick,-33.91839,151.24013
Phillip Bay,-33.97947,151.23111
South Windsor,-33.63042,150.79928
North Ryde,-33.79673,151.1332
Crows Nest,-33.82557,151.20362
Gregory Hills,-34.02724,150.77608
Woolooware,-34.0446,151.1403
Rockdale,-33.95426,151.1404
Dundas,-33.80329,151.04263
Hornsby,-33.69724,151.10055
Girraween,-33.80002,150.94399
Brookvale,-33.76268,151.26932
Springfield,-33.42768,151.372
Villawood,-33.88432,150.98067
Wattle Grove,-33.95266,150.93951
Kanwal,-33.26125,151.48444
West Gosford,-33.42083,151.32376
Ruse,-34.06927,150.83989
Marrickville,-33.91228,151.15592
Tumbi Umbi,-33.37857,151.42921
Raby,-34.02019,150.81645
Parramatta,-33.81479,151.00875
Ashbury,-33.90113,151.11777
Cawdor,-34.09589,150.66638
Umina Beach,-33.5194,151.31264
Yellow Rock,-33.69332,150.62904
North Parramatta,-33.79411,151.0117
Mosman,-33.82846,151.24866
